Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1484702462,2017-01-18T01:21:02Z,BAW32,"60.010574,37.964108",38000,471,273
1484702401,2017-01-18T01:20:01Z,BAW32,"60.001511,38.225792",38000,472,274
1484702338,2017-01-18T01:18:58Z,BAW32,"59.991497,38.500507",38000,469,274
1484702275,2017-01-18T01:17:55Z,BAW32,"59.980976,38.772911",38000,470,274
1484702211,2017-01-18T01:16:51Z,BAW32,"59.969803,39.047176",38000,471,274
1484702150,2017-01-18T01:15:50Z,BAW32,"59.958664,39.306526",38000,467,275
1484702087,2017-01-18T01:14:47Z,BAW32,"59.946533,39.580902",38000,468,275
1484702026,2017-01-18T01:13:46Z,BAW32,"59.934769,39.838074",38000,470,275
1484701963,2017-01-18T01:12:43Z,BAW32,"59.92186,40.111084",38000,468,275
1484701900,2017-01-18T01:11:40Z,BAW32,"59.90868,40.383755",38000,469,275
1484701839,2017-01-18T01:10:39Z,BAW32,"59.894482,40.642311",38000,467,276
1484701778,2017-01-18T01:09:38Z,BAW32,"59.879288,40.900085",38000,463,276
1484701715,2017-01-18T01:08:35Z,BAW32,"59.8629,41.169159",38000,464,276
1484701654,2017-01-18T01:07:34Z,BAW32,"59.847183,41.425751",38000,467,277
